Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
OGG1_boot	0.0	4.3435456135382623e-44	8.279885526558245e-44	0.14961871506493604	0.8503812849350638
OGG1_boot.1	0.0	6.110613708481584e-44	8.749289607041431e-44	0.17451344127978158	0.8254865587202183
OGG1_real	0.0	5.725557349390591e-44	8.31569214412555e-44	0.15269146003248416	0.8473085399675159
UNG_boot	5.916440466897081e-44	5.787820908683877e-44	1.0675316313251857e-43	1.0	6.572393754994932e-43
UNG_boot.1	1.6300247888266526e-43	6.816465782768456e-44	2.7117684662494938e-43	0.9168340778236499	0.08316592217635005
UNG_boot.2	6.974052132632287e-44	6.695088558359738e-44	3.110427198309833e-43	0.9885571597714853	0.011442840228514758
UNG_boot.3	7.260348002149868e-44	9.075432984338743e-44	1.8150869697003016e-43	0.92298233011118	0.07701766988882
UNG_boot.4	7.678857362661211e-44	1.7096320137340459e-43	4.6218027491934855e-43	0.9537493908992878	0.046250609100712284
UNG_boot.5	0.0759241253300976	3.1522631652907863e-44	1.7206106644809614e-43	0.9240758746699023	5.385117525106784e-44
UNG_real	1.490804438035826e-43	7.023980886326119e-44	1.963848120586518e-43	0.9847666657549018	0.015233334245098193
RNF168_boot	1.0382916374695079e-43	5.191457032783343e-44	1.0	6.31393568801325e-44	4.20929048999632e-44
RNF168_boot.1	1.0383561903103157e-43	9.822286102272757e-44	0.9760541213862343	6.17400983376283e-44	0.023945878613765674
RNF168_boot.2	1.0136231905431771e-43	1.0275082112140104e-43	0.9999999999999999	6.248362187669432e-44	1.6384594302915622e-43
RNF168_boot.3	0.0	5.110694416411861e-44	1.0	6.077583953585495e-44	8.149487634765353e-44
RNF168_boot.4	9.389196222934013e-44	4.828728412185892e-44	1.0	5.767649158389233e-44	7.645488476149298e-44
RNF168_boot.5	1.0472266538222632e-43	5.377649188519939e-44	1.0	6.5097873639949e-44	4.2455135298478943e-44
RNF168_boot.6	0.0	8.934667888019859e-44	0.9763586403676303	5.600837880697811e-44	0.02364135963236961
RNF168_boot.7	1.0094910371944954e-43	1.0233194539565027e-43	1.0	6.084603564621257e-44	8.158900295087889e-44
RNF168_boot.8	0.0	1.0257024622919397e-43	0.9999999999999998	6.237381279524901e-44	8.177899960672298e-44
RNF168_real	1.0147943221896478e-43	5.14347692747862e-44	0.9999999999999999	6.255581492402062e-44	8.201762462177689e-44
ATP2B4_boot	0.09657908662496523	0.9034209133750348	1.6355793109388372e-43	2.1296606157676834e-43	6.644541170636396e-44
ATP2B4_boot.1	1.219081198103375e-43	1.0	1.6254415698559549e-43	1.3175928214971303e-43	1.7116392855220919e-43
ATP2B4_boot.2	5.9918006558401185e-43	0.9766999949988451	1.794957493560374e-43	0.02330000500115482	1.7949575529769965e-43
ATP2B4_boot.3	2.1227381723833743e-43	0.9072142513351512	2.7016667189519794e-43	1.7689484923259843e-43	0.09278574866484866
ATP2B4_boot.4	0.168343010040351	0.831656989959649	1.9923723711929365e-43	3.4715580085867953e-43	3.7734326461067797e-44
ATP2B4_boot.5	7.635249706312e-44	0.8957737516221731	1.4588780440992104e-43	1.5815874528797239e-43	0.10422624837782704
ATP2B4_boot.6	0.056845848462342904	0.943154151537657	1.3913570968097493e-43	1.5083871716968627e-43	8.842269692982761e-44
ATP2B4_boot.7	1.5624033830673886e-43	0.8294257464788822	1.4129560789426802e-43	1.87488407593935e-43	0.1705742535211178
ATP2B4_real	0.06699922820897508	0.9330007717910249	2.0713810420933347e-43	2.2453138589702745e-43	9.329121032744052e-44
ATP2B4_real.1	4.230436730939722e-43	1.0	1.4057250340474451e-43	2.135110719710381e-43	5.848346797506143e-43
MLH1_boot	0.9903773892975034	7.049563233290002e-44	0.0	6.507290642052231e-44	0.009622610702496644
MLH1_boot.1	1.0	7.274881565242952e-44	0.0	6.466562885546853e-44	1.0238724644967622e-43
MLH1_real	1.0	7.342458078523908e-44	0.0	6.662602388549315e-44	2.0939607662678357e-43
MSH2_real	0.9999999999999999	7.074678192076835e-44	0.0	1.2814514403284585e-43	2.0156163430145943e-43
MSH6_boot	0.9899469728185571	1.4965390614263321e-43	0.0	1.3846486104274173e-43	0.010053027181442799
MSH6_boot.1	0.99158262377518	1.4922392491912657e-43	0.0	1.3806702785616862e-43	0.00841737622482012
MSH6_real	0.981920878918758	1.405479001759146e-43	0.0	1.322804072020065e-43	0.01807912108124197
MSH6_real.1	0.982349456134356	1.4568394242830486e-43	0.0	1.3727913131680256e-43	0.017650543865644002
PMS1_real	0.5697533093692978	0.23001714750831084	6.085169578298468e-44	1.2308638781047675e-43	0.20022954312239136
PMS2_real	1.0	1.6322528434103019e-43	0.0	0.0	2.2972452904922883e-43
