Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	4.059408812391463e-44	9.607269507165737e-44	0.15962127451535343	7.848190755879075e-44	3.247527187594652e-44	0.8403787254846465
OGG1_boot.1	4.2949112378249016e-44	0.0	0.1836616376316242	9.69818714212528e-44	3.4636382418637627e-44	0.8163383623683756
OGG1_real	4.214124247924381e-44	9.787645436298973e-44	0.1623630239448913	1.0467341387702334e-43	3.2625479431629805e-44	0.8376369760551088
UNG_boot	5.395549112177325e-44	6.037877634638354e-44	1.0	2.2738386660368203e-43	5.78094572242061e-44	7.039907381072776e-43
UNG_boot.1	1.36592157161611e-43	2.494292080788187e-43	0.916717229587866	1.662861125333857e-43	1.0541351706120221e-43	0.08328277041213403
UNG_boot.2	1.218729018312891e-43	1.4264672138169567e-43	0.9109500500278445	6.370629272087205e-44	0.08904994997215566	3.1576162921533278e-43
UNG_boot.3	1.1832247342747468e-43	1.4033598584405746e-43	0.8722215679869885	0.10141732038773107	6.053708199452774e-44	0.026361111625280594
UNG_boot.4	1.9097031208407258e-43	1.5106609897265697e-43	0.8746424473368142	2.6222790409228396e-43	0.11569531811209866	0.00966223455108722
UNG_boot.5	1.154591011895565e-43	0.0802434325369602	0.9197565674630399	6.16656593442216e-44	6.297769422792903e-44	2.755274179523046e-44
UNG_real	1.3210170468206157e-43	1.5220416944298728e-43	0.9842310626587656	1.3784526382615392e-43	1.4071703921409308e-43	0.015768937341234423
RNF168_boot	1.0	0.0	6.308746693902449e-44	5.327386446361328e-44	5.187192031477771e-44	4.2058314639604926e-44
RNF168_boot.1	0.9557154457470632	1.018475888652436e-43	1.2137997609567721e-43	0.04428455425293666	4.883102774085574e-44	1.130089522545334e-43
RNF168_boot.2	0.9999999999999999	1.0124921029986781e-43	6.24138828394515e-44	2.621383251127e-43	4.993110921110386e-44	8.183154179039285e-44
RNF168_boot.3	1.0	0.0	1.228258523540446e-43	1.5594744074157014e-43	4.968237016923156e-44	4.00219101316922e-44
