Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	1.38E-44	3.36E-44	4.48E-03	9.48E-45	2.19E-43	7.60E-03
OGG1_boot.1	2.47E-44	3.36E-44	2.60E-03	6.07E-45	4.12E-03	7.50E-03
OGG1_real	1.35E-44	3.36E-44	4.64E-03	4.28E-45	1.56E-43	7.51E-03
UNG_boot	1.92E-44	2.29E-44	2.85E-03	4.76E-44	1.06E-44	8.87E-45
UNG_boot.1	9.80E-44	7.04E-44	2.65E-03	1.55E-44	4.28E-45	2.27E-03
UNG_boot.2	6.05E-44	4.17E-44	2.91E-02	1.24E-45	3.26E-02	4.67E-46
UNG_boot.3	5.31E-44	4.33E-44	8.60E-03	3.59E-02	1.67E-44	2.65E-02
UNG_boot.4	9.68E-44	4.49E-44	3.49E-02	1.24E-44	3.72E-02	2.14E-45
UNG_boot.5	3.60E-44	3.04E-02	1.49E-02	9.34E-45	2.55E-44	4.67E-46
UNG_real	5.72E-44	4.95E-44	1.20E-03	9.34E-45	2.28E-44	1.01E-44
RNF168_boot	1.62E-03	3.46E-44	4.67E-46	4.67E-46	1.96E-44	4.67E-46
RNF168_boot.1	1.55E-02	3.36E-44	1.99E-44	1.34E-02	1.39E-44	8.57E-03
RNF168_boot.2	7.21E-04	3.39E-44	0.00E+00	3.60E-44	3.27E-45	2.87E-44
RNF168_boot.3	1.12E-03	3.41E-44	2.06E-44	1.80E-44	1.71E-44	1.40E-44
RNF168_boot.4	1.53E-03	3.32E-44	4.67E-46	1.77E-44	1.67E-44	1.38E-44
RNF168_boot.5	6.22E-04	3.50E-44	2.15E-44	3.67E-44	1.68E-45	1.45E-44
RNF168_boot.6	1.39E-03	3.27E-44	1.92E-44	1.38E-44	9.57E-03	8.84E-03
RNF168_boot.7	1.75E-02	3.41E-44	4.67E-46	1.71E-44	1.32E-02	1.43E-44
RNF168_boot.8	1.26E-03	3.41E-44	2.06E-44	1.80E-44	1.71E-44	1.38E-44
RNF168_real	8.72E-04	3.41E-44	0.00E+00	3.11E-44	1.45E-44	1.43E-44
ATP2B4_boot	2.15E-44	2.92E-02	1.64E-44	2.60E-01	2.49E-01	8.09E-46
ATP2B4_boot.1	4.08E-44	2.43E-44	2.62E-44	2.69E-01	2.81E-01	2.65E-02
ATP2B4_boot.2	1.69E-44	1.07E-43	2.61E-43	3.12E-01	2.94E-01	1.75E-44
ATP2B4_boot.3	3.44E-44	3.58E-44	1.31E-44	2.92E-01	2.59E-01	2.89E-02
ATP2B4_boot.4	2.08E-44	4.86E-03	2.76E-44	2.59E-01	2.50E-01	8.09E-46
ATP2B4_boot.5	1.64E-44	8.09E-46	9.34E-46	2.28E-01	2.44E-01	2.06E-02
ATP2B4_boot.6	1.66E-44	2.36E-02	2.24E-44	2.83E-01	2.68E-01	5.20E-45
ATP2B4_boot.7	1.24E-45	8.09E-46	3.32E-44	2.00E-01	2.43E-01	4.92E-02
ATP2B4_real	3.99E-44	2.31E-02	1.47E-44	2.82E-01	2.68E-01	1.22E-44
ATP2B4_real.1	2.99E-44	8.15E-44	1.10E-44	2.94E-01	2.80E-01	2.48E-44
MLH1_boot	3.32E-44	2.65E-03	2.20E-44	5.99E-44	4.74E-45	3.49E-03
MLH1_boot.1	3.34E-44	3.10E-03	4.67E-46	4.67E-46	2.79E-44	3.60E-44
MLH1_real	3.34E-44	3.10E-03	2.22E-44	2.45E-44	3.27E-45	3.60E-44
MSH2_real	3.29E-44	3.17E-03	4.41E-44	2.41E-44	3.27E-44	3.55E-44
MSH6_boot	3.37E-44	6.96E-03	5.82E-44	2.64E-44	1.28E-02	4.28E-44
MSH6_boot.1	3.39E-44	5.04E-03	4.67E-44	7.03E-03	6.18E-44	6.24E-44
MSH6_real	3.29E-44	5.95E-03	2.22E-44	1.10E-02	2.85E-44	6.18E-03
MSH6_real.1	3.34E-44	5.07E-03	3.96E-44	3.84E-03	9.61E-03	4.67E-03
PMS1_real	5.96E-44	3.23E-02	2.66E-44	2.60E-44	1.06E-01	7.34E-02
PMS2_real	5.58E-02	1.04E-02	3.32E-44	8.41E-45	3.52E-44	9.11E-44
