Samples	SBS1	SBS5	SBS14	SBS18	SBS30	SBS44	SBS96E
OGG1_boot	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999973
OGG1_boot.1	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999973
OGG1_real	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999973
UNG_boot	0.0	0.0	0.0	0.9999999999999982	0.0	0.0	0.0
UNG_boot.1	0.0	0.0	0.0	0.9999999999999984	0.0	0.0	0.0
UNG_boot.2	0.0	0.0	0.0	0.9999999999999982	0.0	0.0	0.0
UNG_boot.3	0.0	0.0	0.0	0.999999999999998	0.0	0.0	0.0
UNG_boot.4	0.0	0.0	0.0	0.999999999999998	0.0	0.0	0.0
UNG_boot.5	0.0	0.0	0.0	0.9999999999999982	0.0	0.0	0.0
UNG_real	0.0	0.0	0.0	0.9999999999999982	0.0	0.0	0.0
RNF168_boot	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_boot.1	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_boot.2	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_boot.3	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_boot.4	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_boot.5	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_boot.6	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_boot.7	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_boot.8	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
RNF168_real	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0
ATP2B4_boot	0.0	0.0	0.0	0.9999999999999976	0.0	0.0	0.0
ATP2B4_boot.1	0.0	0.0	0.0	0.9999999999999984	0.0	0.0	0.0
ATP2B4_boot.2	0.0	0.0	0.0	0.9999999999999982	0.0	0.0	0.0
ATP2B4_boot.3	0.0	0.0	0.0	0.999999999999998	0.0	0.0	0.0
ATP2B4_boot.4	0.0	0.0	0.0	0.9999999999999978	0.0	0.0	0.0
ATP2B4_boot.5	0.0	0.0	0.0	0.9999999999999978	0.0	0.0	0.0
ATP2B4_boot.6	0.0	0.0	0.0	0.9999999999999976	0.0	0.0	0.0
ATP2B4_boot.7	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999978
ATP2B4_real	0.0	0.0	0.0	0.999999999999998	0.0	0.0	0.0
ATP2B4_real.1	0.0	0.0	0.0	0.9999999999999967	0.0	0.0	0.0
MLH1_boot	0.0	0.0	0.0	0.0	0.0	0.9999999999999953	0.0
MLH1_boot.1	0.0	0.0	0.0	0.0	0.0	0.9999999999999956	0.0
MLH1_real	0.0	0.0	0.0	0.0	0.0	0.9999999999999964	0.0
MSH2_real	0.0	0.0	0.0	0.0	0.0	0.9999999999999964	0.0
MSH6_boot	0.0	0.0	0.0	0.0	0.0	0.9999999999999969	0.0
MSH6_boot.1	0.0	0.0	0.0	0.0	0.0	0.9999999999999962	0.0
MSH6_real	0.0	0.0	0.0	0.0	0.0	0.9999999999999969	0.0
MSH6_real.1	0.0	0.0	0.0	0.0	0.0	0.999999999999996	0.0
PMS1_real	0.0	0.0	0.0	0.9999999999999991	0.0	0.0	0.0
PMS2_real	0.0	0.9999999999999969	0.0	0.0	0.0	0.0	0.0
