Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
OGG1_boot	0.0	0.013497638543913294	0.0	0.07192378372775494	0.9145785777283293
OGG1_boot.1	0.08532755896850089	0.0	0.048470284224336954	0.03863725287037699	0.8275649039367831
OGG1_real	0.0	0.012081911970277802	0.07562619839515443	0.04158765810913378	0.8707042315254316
UNG_boot	0.0	0.0	0.0	0.9499057860792983	0.05009421392069974
UNG_boot.1	0.1122993431949816	0.07960584063955564	0.0	0.6803625758140948	0.12773224035136635
UNG_boot.2	0.15457912910866983	0.0	0.0	0.7911063775404371	0.054314493350891134
UNG_boot.3	0.0	0.044436773954139724	0.0	0.8215309426424325	0.13403228340342568
UNG_boot.4	0.16969277853462053	0.0	0.17278777847056231	0.657519442994815	0.0
UNG_boot.5	0.0	0.10581180753121867	0.01262850188210954	0.88155969058667	0.0
UNG_real	0.08360757896480174	0.03916603863920356	0.0	0.8119303391087708	0.0652960432872218
RNF168_boot	0.9442936221358808	0.0	0.006905364738744343	0.048801013125374736	0.0
RNF168_boot.1	0.8182255800566566	0.07151141628172432	0.0	0.038423110149934936	0.07183989351168384
RNF168_boot.2	0.8573023177571626	0.059583667957092835	0.035772534317972796	0.0	0.04734147996777106
RNF168_boot.3	0.8860457212844153	0.0	0.0	0.08202609845766258	0.0319281802579216
RNF168_boot.4	0.9375439757167805	0.0	0.06245602428321929	0.0	0.0
RNF168_boot.5	0.9355733638336596	0.029098349532238773	0.0	0.0	0.035328286634100946
RNF168_boot.6	0.9340075115760499	0.0	0.0	0.0	0.06599248842394975
RNF168_boot.7	0.8874929314932657	0.0	0.10033181133656827	0.012175257170165899	0.0
RNF168_boot.8	0.857630991388053	0.0	0.065543185296139	0.07682582331580827	0.0
RNF168_real	0.9118452469680612	0.010048662764681911	0.02859000810867229	0.02729343937864785	0.022222642779936793
ATP2B4_boot	0.21625150565819412	0.060916643492914035	0.5246657670832121	0.09244978271850635	0.10571630104717346
ATP2B4_boot.1	0.0	0.0	0.9999999999999984	0.0	0.0
ATP2B4_boot.2	0.0	0.03029235650106602	0.8806926020083278	0.07639979459410282	0.012615246896502088
ATP2B4_boot.3	0.2654837038464431	0.019094442661804784	0.5424476340916565	0.01238363481564874	0.16059058458444667
ATP2B4_boot.4	0.19949716531997952	0.13113271190067666	0.5848489772192333	0.08452114556011055	1.48400503426627e-43
ATP2B4_boot.5	0.0	0.0	0.8669825425902489	0.0	0.13301745740974896
ATP2B4_boot.6	0.0	0.09685824502651988	0.9031417549734778	0.0	0.0
ATP2B4_boot.7	0.0	0.040749815676996495	0.6088922504578959	0.09237531144982972	0.25798262241527603
ATP2B4_real	0.25826950011652045	0.041400186501719415	0.55803414523583	0.047498965201451526	0.0947972029444787
ATP2B4_real.1	0.0	0.062142811974261726	0.904408019296075	0.0	0.03344916872966056
MLH1_boot	0.0	0.9726533948932947	0.0	0.0	0.027346605106700686
MLH1_boot.1	0.0	0.9955229509901298	0.0	0.0	0.004477049009865719
MLH1_real	0.0	0.9756927954539449	0.0	0.012335861342465884	0.01197134320358599
MSH2_real	0.0	0.9467725403611745	0.0	0.04867912794063083	0.004548331698190757
MSH6_boot	0.0	0.9237747465515823	0.043791129294339634	0.03243412415407529	0.0
MSH6_boot.1	0.0	0.9320974550658427	0.0	0.05391571547487035	0.01398682945928293
MSH6_real	0.0	0.9633202829862262	0.0	0.0	0.03667971701377121
MSH6_real.1	0.0	0.9290245096677042	0.0	0.04528774883802373	0.025687741494268005
PMS1_real	0.12145473294007691	0.23892718976383065	0.5664204139699432	0.07319766332614885	0.0
PMS2_real	0.4949146441439159	0.50508535585608	0.0	0.0	0.0
