Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
OGG1_boot	3.18E-44	7.69E-45	2.47E-44	8.12E-03	3.26E-03
OGG1_boot.1	3.22E-44	4.92E-45	2.92E-44	8.11E-03	3.32E-03
OGG1_real	3.18E-44	7.69E-45	2.47E-44	8.20E-03	3.31E-03
UNG_boot	2.20E-44	1.05E-44	3.36E-44	1.22E-03	1.82E-44
UNG_boot.1	4.49E-44	0.00E+00	7.70E-44	2.91E-03	2.84E-03
UNG_boot.2	2.38E-44	1.10E-44	7.53E-44	1.29E-03	2.01E-44
UNG_boot.3	2.41E-44	9.81E-45	5.36E-44	2.95E-03	2.86E-03
UNG_boot.4	2.41E-44	1.24E-44	9.89E-44	1.94E-02	1.71E-02
UNG_boot.5	2.88E-02	0.00E+00	4.13E-44	1.38E-02	9.81E-45
UNG_real	4.21E-44	0.00E+00	5.68E-44	1.29E-03	2.01E-44
RNF168_boot	3.41E-44	4.67E-46	2.26E-03	0.00E+00	4.67E-46
RNF168_boot.1	3.39E-44	1.59E-44	1.30E-02	2.06E-44	8.80E-03
RNF168_boot.2	3.36E-44	1.75E-44	1.03E-02	4.67E-46	7.23E-03
RNF168_boot.3	3.36E-44	1.68E-44	1.87E-03	2.10E-44	2.47E-44
RNF168_boot.4	3.27E-44	1.63E-44	2.20E-03	0.00E+00	1.38E-44
RNF168_boot.5	3.46E-44	4.67E-46	1.64E-03	4.67E-46	1.43E-44
RNF168_boot.6	3.22E-44	2.59E-44	1.37E-02	0.00E+00	9.15E-03
RNF168_boot.7	3.36E-44	1.68E-44	1.58E-03	4.67E-46	3.74E-44
RNF168_boot.8	3.36E-44	1.68E-44	2.04E-03	2.13E-44	1.43E-44
RNF168_real	3.36E-44	1.71E-44	1.64E-03	4.67E-46	2.47E-44
ATP2B4_boot	2.94E-02	9.74E-03	6.06E-44	1.45E-44	1.65E-44
ATP2B4_boot.1	4.93E-44	7.75E-03	5.42E-44	1.08E-44	1.50E-44
ATP2B4_boot.2	1.15E-02	9.28E-03	6.40E-44	6.71E-03	2.31E-44
ATP2B4_boot.3	1.70E-02	8.37E-03	1.36E-43	1.29E-44	9.57E-04
ATP2B4_boot.4	1.10E-02	7.50E-03	1.42E-43	2.39E-44	5.61E-45
ATP2B4_boot.5	2.83E-44	1.27E-03	4.28E-44	4.67E-46	3.83E-03
ATP2B4_boot.6	1.14E-02	9.96E-03	4.36E-44	1.15E-44	7.69E-45
ATP2B4_boot.7	4.94E-44	3.21E-03	3.18E-44	1.17E-44	2.73E-03
ATP2B4_real	2.69E-02	1.34E-02	4.67E-02	1.54E-44	1.45E-44
ATP2B4_real.1	1.03E-02	1.00E-02	5.88E-44	1.15E-44	1.24E-43
MLH1_boot	1.92E-02	2.55E-44	1.11E-43	1.68E-45	2.55E-03
MLH1_boot.1	1.99E-02	2.53E-44	7.38E-44	9.34E-46	3.46E-44
MLH1_real	1.99E-02	2.55E-44	1.11E-43	1.40E-45	6.07E-44
MSH2_real	2.08E-02	2.51E-44	2.84E-43	2.13E-44	3.39E-44
MSH6_boot	2.93E-02	4.37E-44	2.57E-02	2.31E-44	1.31E-43
MSH6_boot.1	2.93E-02	2.52E-44	2.64E-02	2.27E-44	2.05E-03
MSH6_real	2.65E-02	2.43E-44	2.24E-02	2.17E-44	5.07E-03
MSH6_real.1	2.81E-02	4.13E-44	2.80E-02	2.24E-44	4.83E-03
PMS1_real	5.08E-02	1.10E-02	2.83E-02	4.91E-03	3.17E-03
PMS2_real	2.56E-02	3.60E-44	6.82E-02	3.22E-44	2.57E-03
