Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	0.017938744480126487	0.010936633171053329	0.014920291109871222	0.8623519038481346	0.09385242739081426	0.0
OGG1_boot.1	0.06878627578498468	0.0	0.0	0.7949304941059088	0.10418744521083363	0.03209578489827286
OGG1_real	0.013071349004602184	0.019190356556356127	0.0	0.8514820612991023	0.05929517047135932	0.05696106266858018
UNG_boot	0.0	0.0	0.9218954868618907	0.0781045131381092	0.0	0.0
UNG_boot.1	0.07062505932029095	0.06157757872289077	0.6284561494878781	0.1414060280365764	0.09793518443236382	0.0
UNG_boot.2	0.07999874821268427	0.0	0.6734637097594705	0.06190841308690061	0.14377294924839623	0.040856179692548296
UNG_boot.3	0.0	0.0633666913937315	0.7810049391702679	0.15562836943600053	0.0	0.0
UNG_boot.4	0.09263813915888577	0.0	0.5915371727605461	0.07351746485329907	0.12508448333310732	0.11722273989416174
UNG_boot.5	0.0	0.10027846743182804	0.8018640273021249	0.0	0.0	0.09785750526604725
UNG_real	0.04323203325512012	0.019724744921120196	0.7282850992832478	0.07891733225907106	0.10758172619397274	0.022259064087467872
RNF168_boot	0.6085990809721985	0.0	0.16467945716825685	0.04747741383937123	0.16506407598125483	0.014179972038918591
RNF168_boot.1	0.565166288509173	0.07353557493464244	0.1708669571606323	0.11701932349160966	0.07341185590394242	0.0
RNF168_boot.2	0.5779305015858986	0.04882237052993096	0.12376448452645207	0.10055335521158261	0.1174155441850653	0.03151374396107044
RNF168_boot.3	0.6048251121336462	0.0	0.2050825677067942	0.07566828252120018	0.08812527868196482	0.026298758956394518
RNF168_boot.4	0.6527817122558016	0.007911367039849047	0.10566709349845246	0.0657135916742878	0.0983390298336728	0.06958720569793624
RNF168_boot.5	0.6460817723065226	0.04126578387408503	0.16470455026399727	0.08853340091845924	0.05941449263693575	0.0
RNF168_boot.6	0.6164362803438547	0.0	0.13153857005509503	0.10645881552964002	0.12111269644847845	0.024453637622931707
RNF168_boot.7	0.5632548983317323	0.0	0.12415748963625405	0.07707870712784864	0.17743882666174796	0.05807007824241719
RNF168_boot.8	0.5937792307116787	0.0	0.20220657399320946	0.05900701201899485	0.06875718504160495	0.07624999823451192
RNF168_real	0.6060356421467809	0.016789903201724257	0.16380074962337324	0.07921033429640154	0.09890383327804607	0.03525953745367401
ATP2B4_boot	0.03307839271949758	0.0	0.12683476098826968	0.3146607249891585	0.5254261213030744	0.0
ATP2B4_boot.1	0.00765605765589999	0.0	0.0	0.3032419379708871	0.058269592234667655	0.6308324121385454
ATP2B4_boot.2	0.0	0.047294102830314294	0.11393304962629142	0.31710158245517245	0.015729466609981865	0.5059417984782402
ATP2B4_boot.3	0.14838240456648327	0.0	0.05574184972507387	0.3545884541424156	0.2871171884038027	0.15417010316222451
ATP2B4_boot.4	0.11504650434514549	0.12925580717231094	0.1441043158181351	0.2129759498541935	0.12315775217101464	0.2754596706392003
ATP2B4_boot.5	0.006886328220441598	0.0	0.0444942759454007	0.4189103248906618	0.03437871623996688	0.49533035470352904
ATP2B4_boot.6	0.0	0.08124944281352395	0.0	0.2825073322488373	0.06495545183048207	0.5712877731071567
ATP2B4_boot.7	0.0	0.07502220534043649	0.11437361991880513	0.4631575995573807	0.0	0.34744657518337774
ATP2B4_real	0.14176062313290388	0.0002155984335130502	0.09218423441528391	0.29932805951945984	0.2751828134918902	0.191328671006949
ATP2B4_real.1	0.0	0.061631448642267966	0.030286903953658094	0.3393379432686803	0.05750457113305272	0.5112391330023409
MLH1_boot	0.0	0.8553397322162085	0.017790507859132613	0.02051839895530107	0.10243248939928108	0.003918871570076817
MLH1_boot.1	0.0	0.8447231208340992	0.013483517577899297	0.0	0.1417933615880015	0.0
MLH1_real	0.0	0.8296278649411544	0.03431998157867869	0.0023380022819083587	0.1337141511982585	0.0
MSH2_real	0.0	0.7948752738616028	0.053458464962864057	0.0	0.15166626117553317	0.0
MSH6_boot	0.0179299590453666	0.7978860602771564	0.03788890657075275	0.0	0.07509516389430639	0.0711999102124179
MSH6_boot.1	0.04952117690455377	0.8047055037633782	0.06427708467735482	0.0009122708112545379	0.03605321359216278	0.044530750251295895
MSH6_real	0.043081604275455376	0.8293978506550649	0.04292378289717446	0.029942276032986805	0.05465448613931845	0.0
MSH6_real.1	0.03883632058458328	0.7995617392934833	0.05432514927270714	0.011888724658684154	0.05769898879459684	0.037689077395945056
PMS1_real	0.0	0.04234105154447823	0.0	0.16483702435021966	0.5596770994222661	0.23314482468303602
PMS2_real	0.5907464702749583	0.38804715761455505	0.0	0.0	0.0	0.02120637211048674
