Samples	SBS1	SBS5	SBS18	SBS20	SBS30	SBS36	SBS44	SBS59	SBS96A	SBS96D
OGG1_boot	0	0	0	0	0	0	0	0	0	0
OGG1_boot.1	0	0	0	0	0	0	0	0	0	0
OGG1_real	0	0	0	0	0	0	0	0	0	0
UNG_boot	0	0	0	0	0	0	0	0	0	0
UNG_boot.1	0	0	0	0	0	0	0	0	0	0
UNG_boot.2	0	0	0	0	0	0	0	0	0	0
UNG_boot.3	0	0	0	0	0	0	0	0	0	0
UNG_boot.4	0	0	0	0	0	0	0	0	0	0
UNG_boot.5	0	0	0	0	0	0	0	0	0	0
UNG_real	0	0	0	0	0	0	0	0	0	0
RNF168_boot	0	0	0	0	0	0	0	0	0	0
RNF168_boot.1	0	0	0	0	0	0	0	0	0	0
RNF168_boot.2	0	0	0	0	0	0	0	0	0	0
RNF168_boot.3	0	0	0	0	0	0	0	0	0	0
RNF168_boot.4	0	0	0	0	0	0	0	0	0	0
RNF168_boot.5	0	0	0	0	0	0	0	0	0	0
RNF168_boot.6	0	0	0	0	0	0	0	0	0	0
RNF168_boot.7	0	0	0	0	0	0	0	0	0	0
RNF168_boot.8	0	0	0	0	0	0	0	0	0	0
RNF168_real	0	0	0	0	0	0	0	0	0	0
ATP2B4_boot	0	0	0	0	0	0	0	0	0	0
ATP2B4_boot.1	0	0	0	0	0	0	0	0	0	0
ATP2B4_boot.2	0	0	0	0	0	0	0	0	0	0
ATP2B4_boot.3	0	0	0	0	0	0	0	0	0	0
ATP2B4_boot.4	0	0	0	0	0	0	0	0	0	0
ATP2B4_boot.5	0	0	0	0	0	0	0	0	0	0
ATP2B4_boot.6	0	0	0	0	0	0	0	0	0	0
ATP2B4_boot.7	0	0	0	0	0	0	0	0	0	0
ATP2B4_real	0	0	0	0	0	0	0	0	0	0
ATP2B4_real.1	0	0	0	0	0	0	0	0	0	0
MLH1_boot	0	0	0	0	0	0	0	0	0	0
MLH1_boot.1	0	0	0	0	0	0	0	0	0	0
MLH1_real	0	0	0	0	0	0	0	0	0	0
MSH2_real	0	0	0	0	0	0	0	0	0	0
MSH6_boot	0	0	0	0	0	0	0	0	0	0
MSH6_boot.1	0	0	0	0	0	0	0	0	0	0
MSH6_real	0	0	0	0	0	0	0	0	0	0
MSH6_real.1	0	0	0	0	0	0	0	0	0	0
PMS1_real	0	0	0	0	0	0	0	0	0	0
PMS2_real	0	0	0	0	0	0	0	0	0	0
