Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	0	0	0	1	0	0
OGG1_boot.1	0	0	0	1	0	0
OGG1_real	0	0	0	1	0	0
UNG_boot	0	0	1	0	0	0
UNG_boot.1	0	0	1	0	0	0
UNG_boot.2	0	0	1	0	0	0
UNG_boot.3	0	0	1	0	0	0
UNG_boot.4	0	0	1	0	0	0
UNG_boot.5	0	0	1	0	0	0
UNG_real	0	0	1	0	0	0
RNF168_boot	1	0	0	0	0	0
RNF168_boot.1	1	0	0	0	0	0
RNF168_boot.2	1	0	0	0	0	0
RNF168_boot.3	1	0	0	0	0	0
RNF168_boot.4	1	0	0	0	0	0
RNF168_boot.5	1	0	0	0	0	0
RNF168_boot.6	1	0	0	0	0	0
RNF168_boot.7	1	0	0	0	0	0
RNF168_boot.8	1	0	0	0	0	0
RNF168_real	1	0	0	0	0	0
ATP2B4_boot	0	0	0	0	1	0
ATP2B4_boot.1	0	0	0	0	0	1
ATP2B4_boot.2	0	0	0	0	0	1
ATP2B4_boot.3	0	0	0	0	0	0
ATP2B4_boot.4	0	0	0	0	0	0
ATP2B4_boot.5	0	0	0	0	0	0
ATP2B4_boot.6	0	0	0	0	0	1
ATP2B4_boot.7	0	0	0	0	0	0
ATP2B4_real	0	0	0	0	0	0
ATP2B4_real.1	0	0	0	0	0	1
MLH1_boot	0	1	0	0	0	0
MLH1_boot.1	0	1	0	0	0	0
MLH1_real	0	1	0	0	0	0
MSH2_real	0	1	0	0	0	0
MSH6_boot	0	1	0	0	0	0
MSH6_boot.1	0	1	0	0	0	0
MSH6_real	0	1	0	0	0	0
MSH6_real.1	0	1	0	0	0	0
PMS1_real	0	0	0	0	1	0
PMS2_real	1	0	0	0	0	0
