Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_boot	0.9999999999999973	0.995	0.221	22.1%	0.06	15.111%	2.38899	0.996
OGG1_boot.1	0.9999999999999974	0.994	0.269	26.9%	0.076	19.994%	2.38989	0.995
OGG1_real	0.9999999999999973	0.997	0.192	19.2%	0.056	14.222%	1000.0	0.998
UNG_boot	0.9999999999999981	0.963	0.327	32.7%	0.063	27.2%	0.52087	0.954
UNG_boot.1	0.9999999999999984	0.913	0.432	43.2%	0.088	43.256%	0.56535	0.887
UNG_boot.2	0.9999999999999982	0.932	0.391	39.1%	0.079	37.002%	0.17379	0.912
UNG_boot.3	0.999999999999998	0.928	0.375	37.5%	0.082	37.866%	1.2761	0.908
UNG_boot.4	0.999999999999998	0.92	0.447	44.7%	0.085	41.23%	1.30769	0.895
UNG_boot.5	0.9999999999999982	0.971	0.27	27.0%	0.052	24.234%	0.8466	0.963
UNG_real	0.9999999999999982	0.971	0.253	25.3%	0.052	25.922%	1.19583	0.963
RNF168_boot	0.9999999999999996	0.838	0.535	53.5%	0.078	56.656%	4.95079	0.636
RNF168_boot.1	0.9999999999999997	0.779	0.578	57.8%	0.092	65.322%	4.93844	0.517
RNF168_boot.2	0.9999999999999996	0.797	0.549	54.9%	0.088	63.162%	4.65864	0.549
RNF168_boot.3	0.9999999999999996	0.812	0.501	50.1%	0.085	60.854%	3.33747	0.584
RNF168_boot.4	0.9999999999999994	0.848	0.492	49.2%	0.078	53.928%	4.07955	0.681
RNF168_boot.5	0.9999999999999997	0.841	0.495	49.5%	0.077	56.423%	3.31882	0.638
RNF168_boot.6	0.9999999999999996	0.797	0.547	54.7%	0.091	61.26%	2.96061	0.586
RNF168_boot.7	0.9999999999999996	0.789	0.58	58.0%	0.09	64.397%	4.37233	0.533
RNF168_boot.8	0.9999999999999996	0.809	0.526	52.6%	0.085	61.089%	4.08273	0.575
RNF168_real	0.9999999999999996	0.834	0.472	47.2%	0.078	57.536%	3.67583	0.618
ATP2B4_boot	0.9999999999999976	0.734	0.537	53.7%	0.155	70.807%	3.9773	0.654
ATP2B4_boot.1	0.9999999999999984	0.911	0.486	48.6%	0.127	41.256%	2.4341	0.899
ATP2B4_boot.2	0.9999999999999983	0.892	0.563	56.3%	0.133	46.249%	3.43028	0.876
ATP2B4_boot.3	0.999999999999998	0.0	1.0	100.0%	0.247	100.06%		
ATP2B4_boot.4	0.9999999999999978	0.0	1.0	100.0%	0.219	99.812%		
ATP2B4_boot.5	0.9999999999999978	0.0	1.0	100.0%	0.29	100.064%		
ATP2B4_boot.6	0.9999999999999976	0.909	0.514	51.4%	0.119	42.651%	1.98282	0.895
ATP2B4_boot.7	0.9999999999999979	0.0	1.0	100.0%	0.301	99.909%		
ATP2B4_real	0.999999999999998	0.0	1.0	100.0%	0.225	100.038%		
ATP2B4_real.1	0.9999999999999967	0.896	0.489	48.9%	0.128	45.808%	3.65877	0.88
MLH1_boot	0.9999999999999953	0.974	0.279	27.9%	0.047	24.621%	2.03969	0.966
MLH1_boot.1	0.9999999999999956	0.973	0.283	28.3%	0.047	24.333%	2.43121	0.964
MLH1_real	0.9999999999999964	0.978	0.262	26.2%	0.043	22.628%	1000.0	0.972
MSH2_real	0.9999999999999963	0.972	0.283	28.3%	0.048	24.709%	1000.0	0.962
MSH6_boot	0.9999999999999969	0.966	0.286	28.6%	0.054	29.258%	1000.0	0.956
MSH6_boot.1	0.9999999999999962	0.973	0.277	27.7%	0.049	26.483%	2.89565	0.965
MSH6_real	0.9999999999999969	0.98	0.259	25.9%	0.043	23.132%	1000.0	0.974
MSH6_real.1	0.9999999999999959	0.975	0.261	26.1%	0.048	26.333%	1000.0	0.969
PMS1_real	0.9999999999999992	0.82	0.609	60.9%	0.131	57.84%	3.69041	0.769
PMS2_real	0.9999999999999968	0.679	0.922	92.2%	0.128	74.327%	7.11717	0.44
