Samples	SBS96A
0	0.00E+00
1	0.00E+00
2	0.00E+00
3	0.00E+00
4	0.00E+00
5	0.00E+00
6	0.00E+00
7	0.00E+00
8	0.00E+00
9	0.00E+00
10	0.00E+00
11	0.00E+00
12	0.00E+00
13	0.00E+00
14	0.00E+00
15	0.00E+00
16	0.00E+00
17	0.00E+00
18	0.00E+00
19	0.00E+00
20	0.00E+00
21	0.00E+00
22	0.00E+00
23	0.00E+00
24	0.00E+00
25	0.00E+00
26	0.00E+00
27	0.00E+00
28	0.00E+00
OGG1_25_s1	0.00E+00
RNF168_116_s1	0.00E+00
UNG_6_s4	0.00E+00
ATP2B4_5_s6	0.00E+00
ATP2B4_2_s4	0.00E+00
MLH1_172_s2	0.00E+00
MSH2_120_s3	0.00E+00
MSH6_3_s4	0.00E+00
MSH6_4_s2	0.00E+00
PMS1_123_s2	0.00E+00
PMS2_170_s1	0.00E+00
