Samples	SBS96A	SBS96B
0	3.00E-44	7.95E-08
1	2.10E-07	7.50E-08
2	1.30E-07	3.58E-08
3	4.64E-44	3.97E-08
4	2.29E-07	3.97E-08
5	1.39E-07	9.93E-09
6	1.55E-07	2.63E-08
7	1.21E-07	1.72E-08
8	8.66E-08	1.79E-08
9	1.29E-07	3.26E-08
10	6.95E-08	1.31E-08
11	8.83E-08	3.02E-08
12	5.16E-08	1.31E-08
13	8.83E-08	2.58E-08
14	8.83E-08	6.04E-08
15	9.78E-08	1.79E-08
16	1.43E-07	1.49E-08
17	2.63E-08	3.44E-08
18	4.33E-08	7.95E-08
19	9.58E-08	7.95E-08
20	4.55E-08	3.44E-08
21	7.95E-08	7.16E-08
22	9.90E-08	7.16E-08
23	7.88E-08	3.44E-08
24	2.28E-08	5.26E-08
25	1.73E-07	1.83E-08
26	6.88E-08	1.17E-43
27	1.38E-07	2.88E-10
28	3.97E-08	6.45E-44
OGG1_25_s1	3.00E-44	7.95E-08
RNF168_116_s1	7.76E-08	2.28E-08
UNG_6_s4	1.58E-07	2.63E-08
ATP2B4_5_s6	6.95E-08	6.88E-08
ATP2B4_2_s4	2.63E-08	7.16E-08
MLH1_172_s2	7.95E-08	6.59E-44
MSH2_120_s3	1.73E-07	3.75E-44
MSH6_3_s4	1.59E-07	1.10E-08
MSH6_4_s2	2.21E-07	2.04E-08
PMS1_123_s2	7.16E-08	5.26E-08
PMS2_170_s1	1.50E-07	1.24E-08
