Samples	SBS96A	SBS96B	SBS96C
OGG1_boot	0.0	0.0	1.0
OGG1_boot.1	0.0	0.0	1.0
OGG1_real	0.0	0.0	1.0
UNG_boot	0.0	1.0	0.0
UNG_boot.1	0.10533197666044014	0.8523618616498403	0.0423061616897195
UNG_boot.2	0.053694559064028174	0.9463054409359717	0.0
UNG_boot.3	0.05139558074070811	0.9067462421170212	0.04185817714227074
UNG_boot.4	0.08389269165666847	0.8917683313472256	0.024338976996106012
UNG_boot.5	0.16874997511068754	0.8312500248893123	0.0
UNG_real	0.07925946045025188	0.9207405395497482	0.0
RNF168_boot	0.29256606498362175	0.7074339350163783	0.0
RNF168_boot.1	0.3285952474016969	0.5919891459447745	0.07941560665352865
RNF168_boot.2	0.34447790293744457	0.5699583339972241	0.08556376306533119
RNF168_boot.3	0.23706475208825614	0.7445544240565511	0.01838082385519273
RNF168_boot.4	0.3181779285424727	0.6329137316200294	0.048908339837497795
RNF168_boot.5	0.3011238705638519	0.6721809360026247	0.026695193433523313
RNF168_boot.6	0.24776725971255759	0.6712562261912947	0.08097651409614767
RNF168_boot.7	0.2842840478687049	0.6497867959568402	0.0659291561744549
RNF168_boot.8	0.22430966230826258	0.7589013852915847	0.016788952400152768
RNF168_real	0.2862209255000532	0.673951734266462	0.03982734023348485
ATP2B4_boot	0.2741452390577263	0.30446218655599344	0.4213925743862804
ATP2B4_boot.1	0.23113529665592275	0.12072857990579917	0.6481361234382782
ATP2B4_boot.2	0.24045153536340935	0.20391394392850487	0.5556345207080857
ATP2B4_boot.3	0.22842280672362683	0.22329596998810405	0.548281223288269
ATP2B4_boot.4	0.36178374291391435	0.288971306960421	0.3492449501256647
ATP2B4_boot.5	0.17852080408874452	0.13201563472894765	0.6894635611823079
ATP2B4_boot.6	0.3468619518052843	0.07730501015202934	0.5758330380426864
ATP2B4_boot.7	0.19650588962855978	0.11464132923491244	0.6888527811365278
ATP2B4_real	0.2576276356582151	0.2749945451836826	0.4673778191581024
ATP2B4_real.1	0.2811318484972849	0.11554407604231398	0.603324075460401
MLH1_boot	1.0	0.0	0.0
MLH1_boot.1	1.0	0.0	0.0
MLH1_real	1.0	0.0	0.0
MSH2_real	0.9999999999999999	0.0	0.0
MSH6_boot	1.0	0.0	0.0
MSH6_boot.1	0.9999999999999999	0.0	0.0
MSH6_real	1.0	0.0	0.0
MSH6_real.1	1.0	0.0	0.0
PMS1_real	0.44869975283105146	0.21140510072762767	0.33989514644132085
PMS2_real	0.995038293568464	0.004961706431535983	0.0
