Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_boot	0.9999999999999973	0.974	0.422	42.2%	0.092	23.17%	1000.0	0.972
OGG1_boot.1	0.9999999999999974	0.98	0.352	35.2%	0.076	19.994%	1000.0	0.978
OGG1_real	0.9999999999999973	0.981	0.357	35.7%	0.077	19.555%	1000.0	0.98
UNG_boot	0.9999999999999981	0.931	0.494	49.4%	0.091	39.288%	1000.0	0.921
UNG_boot.1	0.9999999999999984	0.96	0.415	41.5%	0.06	29.493%	0.22318	0.949
UNG_boot.2	0.9999999999999982	0.95	0.445	44.5%	0.072	33.723%	0.22972	0.941
UNG_boot.3	0.999999999999998	0.947	0.476	47.6%	0.074	34.172%	0.25325	0.935
UNG_boot.4	0.999999999999998	0.959	0.416	41.6%	0.063	30.559%	0.21623	0.949
UNG_boot.5	0.9999999999999982	0.939	0.484	48.4%	0.081	37.749%	0.25293	0.932
UNG_real	0.9999999999999982	0.98	0.302	30.2%	0.046	22.931%	0.12235	0.978
RNF168_boot	0.9999999999999996	0.88	0.486	48.6%	0.075	54.477%	0.19417	0.784
RNF168_boot.1	0.9999999999999997	0.903	0.469	46.9%	0.07	49.701%	0.20946	0.836
RNF168_boot.2	0.9999999999999996	0.896	0.506	50.6%	0.073	52.395%	0.22084	0.824
RNF168_boot.3	0.9999999999999996	0.898	0.484	48.4%	0.072	51.547%	0.20748	0.828
RNF168_boot.4	0.9999999999999994	0.863	0.54	54.0%	0.081	56.002%	0.24858	0.759
RNF168_boot.5	0.9999999999999997	0.874	0.508	50.8%	0.078	57.155%	0.20095	0.776
RNF168_boot.6	0.9999999999999996	0.876	0.546	54.6%	0.081	54.528%	0.24279	0.795
RNF168_boot.7	0.9999999999999996	0.891	0.508	50.8%	0.075	53.664%	0.22194	0.818
RNF168_boot.8	0.9999999999999996	0.902	0.496	49.6%	0.072	51.746%	0.18949	0.837
RNF168_real	0.9999999999999996	0.91	0.453	45.3%	0.068	50.159%	0.15931	0.852
ATP2B4_boot	0.9999999999999976	0.911	0.569	56.9%	0.092	42.027%	0.30343	0.886
ATP2B4_boot.1	0.9999999999999984	0.948	0.456	45.6%	0.101	32.81%	0.2426	0.942
ATP2B4_boot.2	0.9999999999999983	0.965	0.47	47.0%	0.081	28.166%	0.2311	0.961
ATP2B4_boot.3	0.999999999999998	0.962	0.436	43.6%	0.068	27.547%	0.21898	0.955
ATP2B4_boot.4	0.9999999999999978	0.953	0.479	47.9%	0.067	30.536%	0.26042	0.94
ATP2B4_boot.5	0.9999999999999978	0.97	0.428	42.8%	0.07	24.153%	0.24655	0.966
ATP2B4_boot.6	0.9999999999999976	0.951	0.474	47.4%	0.089	31.899%	0.27717	0.944
ATP2B4_boot.7	0.9999999999999979	0.971	0.414	41.4%	0.073	24.23%	0.21466	0.968
ATP2B4_real	0.999999999999998	0.979	0.318	31.8%	0.046	20.452%	0.13057	0.974
ATP2B4_real.1	0.9999999999999967	0.979	0.334	33.4%	0.059	21.115%	0.1358	0.976
MLH1_boot	0.9999999999999953	0.961	0.348	34.8%	0.057	29.86%	0.1155	0.951
MLH1_boot.1	0.9999999999999956	0.962	0.374	37.4%	0.058	30.028%	0.11611	0.954
MLH1_real	0.9999999999999964	0.97	0.31	31.0%	0.052	27.364%	0.08795	0.964
MSH2_real	0.9999999999999963	0.969	0.319	31.9%	0.055	28.312%	0.08919	0.966
MSH6_boot	0.9999999999999969	0.972	0.289	28.9%	0.047	25.466%	0.08774	0.963
MSH6_boot.1	0.9999999999999962	0.972	0.283	28.3%	0.047	25.402%	0.08249	0.964
MSH6_real	0.9999999999999969	0.971	0.304	30.4%	0.049	26.36%	0.08531	0.963
MSH6_real.1	0.9999999999999959	0.975	0.251	25.1%	0.043	23.59%	0.06521	0.968
PMS1_real	0.9999999999999992	0.891	0.634	63.4%	0.103	45.477%	0.35928	0.861
PMS2_real	0.9999999999999968	0.734	0.691	69.1%	0.122	70.843%	0.31466	0.575
