Samples	SBS96A	SBS96B	SBS96C	SBS96D
OGG1_boot	0.11627196766346913	0.01931699595700686	0.0	0.8644110363795241
OGG1_boot.1	0.12438330493798133	0.0	0.07031582557821717	0.8053008694838016
OGG1_real	0.06443794741107456	0.01169217231074049	0.1001190718344112	0.8237508084437737
UNG_boot	1.0	0.0	0.0	0.0
UNG_boot.1	0.817342678871378	0.11398285338330243	0.0	0.06867446774531967
UNG_boot.2	0.960051522624119	0.038809407241574924	0.0011390701343060843	0.0
UNG_boot.3	0.8776554323656034	0.056503572505085704	0.0	0.06584099512931071
UNG_boot.4	0.8421437550431505	0.05481963888409327	0.1030366060727562	0.0
UNG_boot.5	0.86475256157134	0.13524743842866002	0.0	0.0
UNG_real	0.9225991196786163	0.06581503774013704	0.007824532456742183	0.0037613101245045923
RNF168_boot	0.7090633675487413	0.28052515291678776	0.0	0.010411479534470842
RNF168_boot.1	0.5765559479288571	0.3296553624952106	0.0	0.09378868957593235
RNF168_boot.2	0.5688963416530243	0.33437602514315573	0.009280785320601587	0.08744684788321831
RNF168_boot.3	0.714998677270598	0.2397163586728728	0.0	0.045284964056529355
RNF168_boot.4	0.5974272387403202	0.2934714152635211	0.08909101669518285	0.020010329300975845
RNF168_boot.5	0.6336930189571914	0.30934070596527863	0.0	0.05696627507752994
RNF168_boot.6	0.6540782079367901	0.24993883817741108	0.0	0.09598295388579887
RNF168_boot.7	0.611635924594229	0.25537172364560395	0.10858358121248407	0.024408770547683055
RNF168_boot.8	0.7101989950750791	0.2024400371767312	0.08736096774818962	0.0
RNF168_real	0.6557038212771626	0.2793121336635523	0.01422876729516834	0.0507552777641167
ATP2B4_boot	0.32030906681778404	0.18273468454440767	0.29507279562534794	0.20188345301246036
ATP2B4_boot.1	0.0	0.0	1.0	0.0
ATP2B4_boot.2	0.037297551330140385	0.006737495517559828	0.9559649531522997	0.0
ATP2B4_boot.3	0.20030462873256355	0.09565753164947727	0.4949261379715685	0.20911170164639067
ATP2B4_boot.4	0.20002561700427224	0.2160408027428978	0.5680495882552046	0.015883991997625368
ATP2B4_boot.5	0.0	0.0	0.8724184573639606	0.1275815426360394
ATP2B4_boot.6	0.0	0.07076680748768555	0.9292331925123145	0.0
ATP2B4_boot.7	0.06222240829449616	0.02661452962651947	0.6754378957375589	0.23572516634142535
ATP2B4_real	0.22626646292900568	0.12184828075795155	0.5165182515273123	0.13536700478573044
ATP2B4_real.1	0.0	0.030204419278703883	0.9412623540397415	0.02853322668155466
MLH1_boot	0.0	1.0	0.0	0.0
MLH1_boot.1	0.0	1.0	0.0	0.0
MLH1_real	0.0	1.0	0.0	0.0
MSH2_real	0.0	0.9999999999999999	0.0	0.0
MSH6_boot	0.0	0.995423974923679	0.004576025076320921	0.0
MSH6_boot.1	0.0	0.9999999999999999	0.0	0.0
MSH6_real	0.0	0.9972228270275973	0.0	0.002777172972402641
MSH6_real.1	0.0	0.9982210596849723	0.0	0.001778940315027682
PMS1_real	0.11116385375528649	0.2916217001160538	0.5972144461286597	0.0
PMS2_real	0.04785231254263271	0.9521476874573673	0.0	0.0
