Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
OGG1_boot	4.99E-03	7.71E-04	5.83E-04	4.37E-03	1.10E-02
OGG1_boot.1	4.78E-03	1.14E-23	9.72E-44	7.61E-03	1.29E-02
OGG1_real	4.71E-03	2.11E-43	6.72E-04	8.60E-03	1.43E-02
UNG_boot	1.68E-45	6.54E-03	0.00E+00	7.05E-03	3.57E-44
UNG_boot.1	7.83E-04	4.30E-03	1.14E-04	5.05E-03	1.18E-43
UNG_boot.2	4.08E-05	4.84E-03	0.00E+00	2.54E-04	4.95E-03
UNG_boot.3	3.55E-43	5.03E-03	1.12E-04	5.80E-03	1.06E-43
UNG_boot.4	4.82E-04	3.76E-03	4.82E-19	6.17E-03	9.39E-03
UNG_boot.5	1.35E-43	4.44E-03	2.53E-04	6.32E-45	3.93E-03
UNG_real	2.47E-04	4.75E-03	8.07E-05	2.50E-03	2.43E-03
RNF168_boot	7.77E-04	1.25E-03	5.87E-05	1.04E-03	1.44E-03
RNF168_boot.1	3.15E-05	1.37E-03	4.77E-05	1.41E-03	6.23E-07
RNF168_boot.2	4.62E-04	8.00E-04	5.00E-05	1.70E-03	2.01E-03
RNF168_boot.3	5.74E-04	1.41E-03	4.02E-44	4.47E-04	1.29E-03
RNF168_boot.4	9.48E-04	7.37E-04	3.52E-05	4.61E-03	4.34E-03
RNF168_boot.5	1.88E-04	1.48E-03	5.95E-05	1.30E-03	6.15E-44
RNF168_boot.6	4.30E-04	1.06E-03	4.67E-46	1.87E-03	2.47E-03
RNF168_boot.7	8.01E-04	8.69E-04	7.49E-05	4.84E-03	4.80E-03
RNF168_boot.8	8.43E-04	1.21E-03	0.00E+00	3.83E-03	4.15E-03
RNF168_real	5.86E-04	1.10E-03	2.99E-05	1.50E-03	1.98E-03
ATP2B4_boot	9.94E-04	9.33E-04	9.71E-05	5.54E-03	7.68E-03
ATP2B4_boot.1	2.22E-03	7.25E-45	0.00E+00	5.08E-02	4.80E-02
ATP2B4_boot.2	2.97E-44	4.45E-04	9.74E-05	3.83E-02	3.73E-02
ATP2B4_boot.3	6.37E-04	3.07E-04	2.16E-04	1.65E-02	1.76E-02
ATP2B4_boot.4	4.92E-04	6.28E-04	1.05E-04	2.15E-02	2.17E-02
ATP2B4_boot.5	2.43E-14	5.36E-04	1.15E-43	3.58E-02	3.51E-02
ATP2B4_boot.6	3.08E-43	8.31E-44	5.70E-04	4.48E-02	4.27E-02
ATP2B4_boot.7	2.14E-45	3.61E-04	5.40E-04	2.57E-02	2.72E-02
ATP2B4_real	1.43E-04	4.12E-04	1.13E-04	1.77E-02	1.84E-02
ATP2B4_real.1	5.36E-43	8.76E-04	3.07E-05	3.90E-02	3.75E-02
MLH1_boot	1.87E-45	7.18E-04	2.13E-05	7.82E-04	5.01E-09
MLH1_boot.1	2.60E-45	3.17E-04	9.11E-05	9.80E-05	1.33E-04
MLH1_real	4.58E-44	9.85E-04	2.13E-05	1.01E-03	1.02E-43
MSH2_real	1.58E-39	1.25E-03	2.93E-05	1.29E-03	1.34E-43
MSH6_boot	1.13E-03	1.03E-03	6.11E-04	5.96E-44	2.14E-03
MSH6_boot.1	1.75E-04	6.81E-04	2.85E-05	1.03E-03	1.43E-03
MSH6_real	2.94E-04	7.16E-04	1.26E-05	9.01E-04	5.35E-44
MSH6_real.1	1.24E-04	5.92E-04	6.10E-05	6.72E-04	1.05E-03
PMS1_real	1.10E-03	1.66E-04	2.43E-04	2.72E-02	2.56E-02
PMS2_real	1.43E-03	3.22E-44	1.67E-04	4.65E-44	1.58E-03
