Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	1.69E-03	1.97E-04	6.04E-03	8.64E-03	4.20E-11	7.44E-03
OGG1_boot.1	1.77E-44	4.26E-38	5.98E-03	4.22E-03	6.97E-03	7.57E-03
OGG1_real	1.73E-03	2.03E-33	4.35E-03	3.40E-03	9.90E-03	6.31E-03
UNG_boot	5.49E-44	1.67E-02	1.16E-44	1.76E-02	9.50E-44	3.77E-44
UNG_boot.1	1.14E-04	8.47E-03	1.68E-03	1.13E-02	6.97E-44	3.62E-03
UNG_boot.2	2.84E-45	8.08E-03	2.54E-03	7.14E-03	5.14E-03	7.21E-03
UNG_boot.3	7.07E-04	1.36E-02	3.37E-43	1.52E-02	4.52E-37	7.95E-44
UNG_boot.4	3.00E-44	6.86E-03	9.38E-04	1.18E-02	1.69E-02	5.24E-03
UNG_boot.5	1.63E-04	1.21E-02	1.36E-42	5.97E-44	1.16E-02	1.65E-21
UNG_real	8.80E-05	9.26E-03	1.05E-03	9.18E-03	2.70E-03	3.57E-03
RNF168_boot	1.97E-43	1.65E-03	2.33E-03	8.41E-03	5.02E-04	5.93E-03
RNF168_boot.1	1.89E-04	2.46E-03	2.32E-03	3.73E-03	7.99E-35	2.38E-03
RNF168_boot.2	4.95E-04	1.15E-03	2.37E-03	7.30E-03	1.30E-03	3.96E-03
RNF168_boot.3	6.48E-42	2.35E-03	2.97E-03	5.71E-03	1.19E-03	4.44E-03
RNF168_boot.4	4.78E-04	7.72E-04	3.83E-03	1.36E-02	7.60E-03	4.43E-03
RNF168_boot.5	3.51E-04	3.21E-03	2.91E-03	3.71E-03	1.53E-43	2.94E-03
RNF168_boot.6	3.92E-44	8.40E-04	2.27E-03	7.74E-03	9.69E-04	5.93E-03
RNF168_boot.7	4.02E-44	2.52E-03	2.13E-03	1.31E-02	5.92E-03	5.72E-03
RNF168_boot.8	3.89E-44	2.60E-03	3.42E-03	1.10E-02	7.65E-03	3.99E-03
RNF168_real	3.36E-04	1.31E-03	2.88E-03	7.12E-03	2.18E-03	4.03E-03
ATP2B4_boot	3.02E-43	1.55E-02	5.81E-03	1.73E-02	3.39E-43	1.27E-02
ATP2B4_boot.1	3.07E-44	4.46E-45	1.90E-03	1.04E-01	9.35E-02	1.07E-02
ATP2B4_boot.2	3.58E-04	1.27E-03	1.53E-43	7.90E-02	7.55E-02	3.82E-03
ATP2B4_boot.3	3.85E-44	8.23E-03	2.96E-03	2.91E-02	2.36E-02	8.41E-03
ATP2B4_boot.4	9.18E-04	2.01E-03	1.05E-03	4.37E-02	4.15E-02	1.80E-03
ATP2B4_boot.5	5.76E-43	1.05E-03	1.22E-03	7.11E-02	6.77E-02	4.10E-03
ATP2B4_boot.6	3.36E-04	5.38E-44	1.39E-43	9.14E-02	8.31E-02	7.24E-03
ATP2B4_boot.7	2.23E-03	2.31E-03	1.79E-44	5.04E-02	5.31E-02	1.50E-44
ATP2B4_real	1.10E-03	6.76E-03	2.23E-03	3.34E-02	2.83E-02	7.32E-03
ATP2B4_real.1	2.53E-04	1.24E-03	1.86E-42	7.92E-02	7.35E-02	4.20E-03
MLH1_boot	6.08E-03	8.59E-03	4.49E-44	1.67E-03	1.15E-03	1.61E-02
MLH1_boot.1	6.78E-03	1.05E-02	4.69E-44	2.92E-45	2.82E-43	1.76E-02
MLH1_real	6.24E-03	8.98E-03	9.22E-44	6.68E-04	9.51E-44	1.60E-02
MSH2_real	6.60E-03	9.94E-03	4.32E-44	5.25E-43	3.01E-44	1.64E-02
MSH6_boot	5.80E-03	1.10E-02	1.79E-03	5.47E-44	7.12E-03	1.36E-02
MSH6_boot.1	3.97E-03	5.55E-03	1.98E-03	3.79E-04	3.24E-03	1.09E-02
MSH6_real	5.41E-03	5.78E-03	1.90E-03	3.45E-03	2.29E-18	1.62E-02
MSH6_real.1	4.72E-03	6.15E-03	1.65E-03	2.57E-03	1.53E-03	1.27E-02
PMS1_real	4.52E-03	1.69E-02	4.65E-44	5.31E-02	3.90E-02	1.31E-02
PMS2_real	9.83E-04	3.06E-44	6.88E-03	3.67E-44	7.54E-03	1.24E-45
