Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_boot	0.9999999999999973	0.996	0.207	20.7%	0.054	13.6%	1.37241	0.996
OGG1_boot.1	0.9999999999999974	0.994	0.253	25.3%	0.069	18.153%	1.24725	0.995
OGG1_real	0.9999999999999973	0.998	0.174	17.4%	0.049	12.444%	1.61141	0.998
UNG_boot	0.9999999999999981	0.952	0.342	34.2%	0.071	30.654%	0.53874	0.94
UNG_boot.1	0.9999999999999984	0.893	0.466	46.6%	0.098	48.172%	0.59176	0.86
UNG_boot.2	0.9999999999999982	0.919	0.422	42.2%	0.087	40.749%	0.19446	0.896
UNG_boot.3	0.999999999999998	0.909	0.405	40.5%	0.093	42.946%	1.30337	0.883
UNG_boot.4	0.999999999999998	0.903	0.479	47.9%	0.094	45.596%	1.33061	0.875
UNG_boot.5	0.9999999999999982	0.967	0.286	28.6%	0.055	25.632%	0.85419	0.958
UNG_real	0.9999999999999982	0.958	0.293	29.3%	0.063	31.406%	1.21733	0.946
RNF168_boot	0.9999999999999996	0.849	0.521	52.1%	0.075	54.477%	4.72963	0.659
RNF168_boot.1	0.9999999999999997	0.795	0.565	56.5%	0.089	63.192%	4.78897	0.551
RNF168_boot.2	0.9999999999999996	0.812	0.536	53.6%	0.084	60.291%	4.4221	0.581
RNF168_boot.3	0.9999999999999996	0.826	0.489	48.9%	0.081	57.99%	3.29279	0.615
RNF168_boot.4	0.9999999999999994	0.862	0.478	47.8%	0.074	51.162%	3.94651	0.709
RNF168_boot.5	0.9999999999999997	0.855	0.481	48.1%	0.073	53.492%	3.0874	0.667
RNF168_boot.6	0.9999999999999996	0.812	0.533	53.3%	0.088	59.24%	2.6393	0.616
RNF168_boot.7	0.9999999999999996	0.803	0.566	56.6%	0.086	61.535%	4.23469	0.563
RNF168_boot.8	0.9999999999999996	0.824	0.512	51.2%	0.082	58.933%	3.6634	0.607
RNF168_real	0.9999999999999996	0.849	0.456	45.6%	0.075	55.323%	3.44427	0.65
ATP2B4_boot	0.9999999999999976	0.769	0.544	54.4%	0.145	66.238%	2.62618	0.7
ATP2B4_boot.1	0.9999999999999984	0.974	0.318	31.8%	0.07	22.74%	0.94024	0.971
ATP2B4_boot.2	0.9999999999999983	0.966	0.383	38.3%	0.075	26.08%	2.23891	0.961
ATP2B4_boot.3	0.999999999999998	0.0	1.0	100.0%	0.247	100.06%		
ATP2B4_boot.4	0.9999999999999978	0.0	1.0	100.0%	0.219	99.812%		
ATP2B4_boot.5	0.9999999999999978	0.947	0.399	39.9%	0.094	32.435%	0.98042	0.94
ATP2B4_boot.6	0.9999999999999976	0.971	0.355	35.5%	0.07	25.089%	1.7443	0.966
ATP2B4_boot.7	0.9999999999999979	0.0	1.0	100.0%	0.301	99.909%		
ATP2B4_real	0.999999999999998	0.0	1.0	100.0%	0.225	100.038%		
ATP2B4_real.1	0.9999999999999967	0.975	0.293	29.3%	0.064	22.904%	2.53872	0.972
MLH1_boot	0.9999999999999953	0.975	0.275	27.5%	0.046	24.097%	1.45814	0.967
MLH1_boot.1	0.9999999999999956	0.975	0.273	27.3%	0.045	23.298%	1.69843	0.967
MLH1_real	0.9999999999999964	0.98	0.253	25.3%	0.042	22.102%	1000.0	0.974
MSH2_real	0.9999999999999963	0.973	0.274	27.4%	0.047	24.194%	1000.0	0.964
MSH6_boot	0.9999999999999969	0.967	0.286	28.6%	0.053	28.717%	1000.0	0.957
MSH6_boot.1	0.9999999999999962	0.973	0.279	27.9%	0.049	26.483%	2.05598	0.965
MSH6_real	0.9999999999999969	0.979	0.26	26.0%	0.043	23.132%	1000.0	0.974
MSH6_real.1	0.9999999999999959	0.975	0.26	26.0%	0.048	26.333%	1000.0	0.969
PMS1_real	0.9999999999999992	0.841	0.607	60.7%	0.124	54.749%	2.65149	0.797
PMS2_real	0.9999999999999968	0.681	0.912	91.2%	0.127	73.747%	6.74362	0.443
